資料区分,都道府県コード,警察署等コード,本票番号,補充票番号,当事者種別,用途別,車両形状等,乗車別,乗車等の区分,サポカー,エアバッグの装備,サイドエアバッグの装備,人身損傷程度,車両の衝突部位,車両の損壊程度
2,10,101,0001,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0002,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0002,002,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0003,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0012,001,13,31,11,2,01,00,2,2,2,  , 
2,10,101,0013,001,03,31,01,2,01,00,2,2,2,  , 
2,10,101,0015,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0034,001,01,01,01,2,01,00,2,2,2,  , 
2,10,101,0034,002,01,01,01,2,01,00,2,2,2,  , 
2,10,101,0035,001,03,31,01,2,01,00,2,2,2,  , 
2,10,101,0035,002,03,31,01,2,01,00,2,2,2,  , 
2,10,101,0039,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0039,002,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0040,001,03,31,01,2,01,00,2,2,2,  , 
2,10,101,0042,001,14,31,11,1,07,00,2,2,2,23,3
2,10,101,0042,002,04,31,01,1,07,00,1,2,2,13,2
2,10,101,0042,003,04,31,01,2,01,00,1,2,2,  , 
2,10,101,0044,001,04,31,01,2,01,00,2,2,2,  , 
2,10,101,0050,001,03,01,01,2,01,00,2,2,2,  , 
2,10,101,0051,001,03,31,01,2,01,00,2,2,2,  , 
2,10,102,0008,001,14,31,11,2,01,00,2,2,2,  , 
2,10,102,0020,001,13,31,11,2,01,00,2,2,2,  , 
2,10,102,0022,001,03,01,01,2,01,00,2,2,2,  , 
2,10,102,0025,001,04,31,01,2,01,00,1,2,2,  , 
2,10,103,0003,001,04,31,01,1,07,00,2,2,2,50,3
2,10,103,0008,001,03,31,01,2,01,00,2,2,2,  , 
2,10,103,0009,001,03,31,01,2,01,00,2,2,2,  , 
2,10,103,0012,001,13,31,11,2,01,00,2,2,2,  , 
2,10,103,0014,001,12,31,11,1,07,00,2,2,2,80,3
2,10,103,0039,001,03,01,01,2,01,00,2,2,2,  , 
2,10,103,0041,001,04,31,01,1,07,00,2,2,2,13,3
2,10,103,0041,002,04,31,01,1,07,00,2,2,2,30,3
2,10,104,0008,001,04,31,01,2,01,00,2,2,2,  , 
2,10,104,0008,002,04,31,01,2,01,00,2,2,2,  , 
2,10,104,0008,003,04,31,01,2,01,00,2,2,2,  , 
2,10,104,0014,001,03,01,01,2,01,00,2,2,2,  , 
2,10,104,0015,001,03,31,01,1,07,00,2,2,2,50,2
2,10,104,0046,001,03,31,01,2,01,00,2,2,2,  , 
2,10,104,0048,001,71,00,00,5,07,00,0,0,2,  , 
2,10,104,0051,001,03,01,01,2,01,00,2,2,2,  , 
2,10,104,0053,001,71,00,00,5,07,00,0,0,2,  , 
2,10,104,0055,001,03,31,01,2,01,00,2,2,2,  , 
2,10,105,0006,001,04,31,01,1,07,00,1,2,2,10,2
2,10,105,0010,001,03,31,01,2,01,00,1,2,2,  , 
2,10,105,0010,002,03,31,01,2,01,00,1,2,2,  , 
2,10,105,0011,001,04,31,01,2,01,00,2,2,2,  , 
2,10,106,0003,001,03,31,01,2,01,00,2,2,2,  , 
2,10,106,0004,001,03,31,01,2,01,00,2,2,2,  , 
2,10,106,0005,001,03,31,01,2,01,00,2,2,2,  , 
2,10,106,0010,001,03,31,01,2,01,00,2,2,2,  , 
2,10,106,0011,001,03,31,01,2,01,00,2,2,2,  , 
2,10,107,0002,001,04,31,01,2,01,00,2,2,2,  , 
2,10,107,0004,001,03,01,01,2,01,00,2,2,2,  , 
2,10,107,0010,001,04,31,01,2,01,00,2,2,2,  , 
2,10,107,0011,001,03,31,01,2,01,00,2,2,2,  , 
2,10,107,0012,001,03,31,01,2,01,00,2,2,2,  , 
2,10,107,0014,001,04,31,01,2,01,00,2,2,2,  , 
2,10,108,0001,001,03,31,01,2,01,00,2,2,1,  , 
2,10,108,0003,001,03,31,01,2,01,00,2,2,2,  , 
2,10,111,0001,001,04,31,01,2,01,00,2,2,2,  , 
2,10,114,0001,001,13,31,11,2,01,00,2,2,2,  , 
2,10,114,0005,001,03,31,01,2,01,00,2,2,2,  , 
