éëóøãÊï™,ìsìπï{åßÉRÅ[Éh,åxé@èêìôÉRÅ[Éh,ñ{ï[î‘çÜ,î≠ê∂ínì_,ìπòHä«óùé“ãÊï™,ìπòHãÊï™,ã»ê¸îºåa,ècífå˘îz,ÉgÉìÉlÉãî‘çÜ,ìñéñé“é‘óºë‰êî,éñåÃóﬁå^,é‘óºíPì∆éñåÃÇÃëŒè€ï®,ó’éûë¨ìxãKêßÇÃóLñ≥,ë¨ìxãKêßÅió’éûÇÃÇ›Åj,ÉgÉìÉlÉãâÑí∑ãóó£
3,10,059,0001,0000,01,09,0,0,000,02,04,00,0,03,00000
3,10,059,0002,0223,10,01,9,0,000,02,04,00,0,06,00000
3,10,059,0003,0000,01,07,9,0,000,03,28,00,1,04,00000
3,10,059,0004,0243,01,03,9,0,000,04,04,00,1,04,00000
3,10,059,0005,0109,01,02,9,0,000,05,28,02,1,04,00000
3,12,050,0001,0420,10,01,9,3,000,02,04,00,0,04,00000
3,12,050,0002,1353,01,01,9,0,000,02,04,00,1,04,00000
3,12,050,0003,1353,01,01,9,0,000,02,04,00,1,04,00000
3,12,050,0004,0278,10,01,8,0,000,03,04,00,4,04,00000
3,12,050,0005,1353,01,01,9,0,000,02,04,00,1,04,00000
3,13,077,0001,1118,01,03,9,0,000,02,04,00,4,04,00000
3,20,059,0001,0000,10,09,0,0,000,02,04,00,0,00,00000
3,21,059,0001,0249,10,01,6,4,000,02,04,00,4,04,00000
3,21,059,0002,1716,10,01,9,0,000,01,28,02,0,00,00000
3,22,059,0001,1053,10,01,9,1,000,01,28,07,0,00,00000
3,24,059,0001,0289,01,01,9,0,000,02,04,00,2,04,00000
3,24,059,0002,1509,10,01,9,0,000,02,28,08,1,04,00000
3,25,059,0001,3200,01,09,0,0,000,03,04,00,0,00,00000
3,25,059,0002,2262,01,01,9,0,000,02,04,00,0,00,00000
3,25,059,0003,2536,01,02,9,0,000,02,04,00,0,00,00000
3,25,059,0004,0834,01,01,9,0,005,02,04,00,1,00,01786
3,25,059,0005,0000,01,10,9,0,000,01,28,07,0,00,00000
3,30,069,0001,0000,04,01,9,0,000,03,04,00,0,00,00000
3,30,069,0002,0000,04,01,9,1,020,02,04,00,0,00,09632
3,30,069,0003,0276,04,01,9,3,000,02,04,00,0,00,00000
3,30,069,0004,0000,04,01,9,0,000,02,04,00,0,00,00000
3,30,069,0005,0000,04,02,9,0,000,03,04,00,0,00,00000
3,30,069,0006,0000,01,01,9,4,000,02,04,00,0,00,00000
3,30,069,0007,0000,04,02,6,0,000,02,04,00,0,00,00000
3,30,069,0008,0043,02,01,9,0,000,03,04,00,0,00,00000
3,30,069,0009,0060,02,02,9,0,000,02,04,00,0,00,00000
3,30,069,0010,0473,02,01,9,0,000,02,04,00,0,07,00000
3,30,069,0011,0000,04,02,9,0,000,03,04,00,0,00,00000
3,30,069,0012,0000,04,11,9,0,000,02,04,00,0,00,00000
3,30,069,0013,0000,04,03,9,1,000,03,04,00,0,00,00000
3,30,069,0014,0000,04,03,9,1,000,03,04,00,0,00,00000
3,30,069,0015,0144,02,03,9,0,000,02,04,00,0,08,00000
3,30,069,0016,1000,04,01,9,1,200,02,04,00,0,00,01325
3,30,069,0017,0000,04,01,9,5,000,02,04,00,0,00,00000
3,30,069,0018,0000,04,03,9,0,000,02,04,00,0,00,00000
3,30,069,0019,0000,04,02,9,0,000,02,04,00,0,00,00000
3,30,069,0020,0500,04,03,9,4,000,02,04,00,0,00,00000
3,30,069,0021,0000,04,02,9,0,020,02,04,00,0,00,09632
3,30,069,0022,0157,04,01,9,1,019,02,04,00,0,05,11216
3,30,069,0023,0000,04,01,9,1,000,02,04,00,0,00,00000
3,30,069,0024,0000,04,01,9,4,000,02,04,00,0,00,00000
3,30,069,0025,0225,02,02,9,0,000,02,04,00,0,00,00000
3,30,069,0026,0000,04,01,9,0,011,02,04,00,0,00,00900
3,30,069,0027,0000,04,02,9,0,000,02,04,00,0,05,00000
3,30,069,0028,0240,02,14,0,0,000,01,01,00,0,00,00000
3,30,069,0029,0000,04,01,9,0,000,05,04,00,0,00,00000
3,30,069,0030,0112,04,01,0,0,000,04,04,00,0,00,00000
3,30,069,0031,0048,02,03,9,0,000,03,04,00,0,00,00000
3,30,069,0032,0005,13,02,0,2,000,04,04,00,0,00,00000
3,30,069,0033,0363,01,02,9,0,000,02,04,00,4,00,00000
3,30,069,0034,0022,02,02,9,0,000,02,04,00,2,07,00000
3,30,069,0035,0019,02,03,0,0,000,03,04,00,2,07,00000
3,30,069,0036,0000,04,11,0,0,000,02,04,00,0,01,00000
3,30,069,0037,0000,04,03,9,1,000,03,04,00,0,00,00000
3,30,069,0038,0000,04,09,0,0,000,02,04,00,0,03,00000
3,30,069,0039,0000,04,02,2,0,000,02,04,00,0,05,00000
3,30,069,0040,0000,04,02,9,0,000,02,04,00,0,00,00000
3,30,069,0041,0027,02,02,0,0,000,02,04,00,2,04,00000
3,30,069,0042,0114,04,01,9,1,019,03,04,00,0,00,11216
3,30,069,0043,0000,04,02,2,1,000,03,04,00,0,00,00000
3,30,069,0044,0000,04,02,9,0,000,02,04,00,0,00,00000
3,30,069,0045,0000,04,09,0,0,000,04,04,00,0,00,00000
3,30,069,0046,0000,04,09,0,0,000,02,04,00,0,03,00000
3,30,069,0047,0000,04,09,0,0,000,02,04,00,0,00,00000
3,30,069,0048,0030,02,02,9,0,000,02,04,00,0,00,00000
3,40,059,0001,0180,01,01,9,0,000,02,04,00,0,00,00000
3,40,059,0002,1136,01,03,9,0,009,03,04,00,4,04,01090
